case_id	check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class	sample	source_format	family	agency	year	page_a	page_b	command_a	command_b	field_a	field_b	observed_a	observed_b	honest_claim	contract_source	not_abstain	not_repeat
v-shadow-000035	ir-diff	inspect-unicode	0	1	0	SHADOW_B_ONLY	samples/대법원/훈령/case-00001-35-2018.hwpx	hwpx	훈령	대법원	2018	39	36	rhwp ir-diff --json	rhwp inspect unicode --json	identical	clean	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect unicode	1	1
v-shadow-000036	ir-diff	inspect-unicode	0	0	0	JOINT_BOTH_FAIL	samples/특허청/고시/case-00001-36-2019.hwp	hwp	고시	특허청	2019	38	40	rhwp ir-diff --json	rhwp inspect unicode --json	identical	clean	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:inspect unicode	1	1
v-shadow-000037	ir-diff	inspect-watermark	1	1	1	JOINT_PASS	samples/교육부/공고문/case-00001-37-2020.hwpx	hwpx	공고문	교육부	2020	38	38	rhwp ir-diff --json	rhwp inspect watermark --json	identical	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:inspect watermark	1	1
v-shadow-000038	ir-diff	inspect-watermark	1	0	0	SHADOW_A_ONLY	samples/보건복지부/회의록/case-00001-38-2021.hwp	hwp	회의록	보건복지부	2021	39	44	rhwp ir-diff --json	rhwp inspect watermark --json	identical	clean	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect watermark	1	1
v-shadow-000039	ir-diff	inspect-watermark	0	1	0	SHADOW_B_ONLY	samples/국토교통부/예산서/case-00001-39-2022.hwpx	hwpx	예산서	국토교통부	2022	41	40	rhwp ir-diff --json	rhwp inspect watermark --json	identical	clean	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect watermark	1	1
v-shadow-000040	ir-diff	inspect-watermark	0	0	0	JOINT_BOTH_FAIL	samples/고용노동부/결산서/case-00001-40-2023.hwp	hwp	결산서	고용노동부	2023	43	43	rhwp ir-diff --json	rhwp inspect watermark --json	identical	clean	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:inspect watermark	1	1
v-shadow-000041	ir-diff	replay	1	1	1	JOINT_PASS	samples/외교부/계약서/case-00001-41-2024.hwpx	hwpx	계약서	외교부	2024	42	42	rhwp ir-diff --json	rhwp replay --json	identical	reproduced	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:replay	1	1
v-shadow-000042	ir-diff	replay	1	0	0	SHADOW_A_ONLY	samples/기획재정부/용역보고서/case-00001-42-2025.hwp	hwp	용역보고서	기획재정부	2025	43	47	rhwp ir-diff --json	rhwp replay --json	identical	reproduced	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:replay	1	1
v-shadow-000043	ir-diff	replay	0	1	0	SHADOW_B_ONLY	samples/공정거래위원회/학술논문/case-00001-43-2026.hwpx	hwpx	학술논문	공정거래위원회	2026	46	44	rhwp ir-diff --json	rhwp replay --json	identical	reproduced	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:replay	1	1
v-shadow-000044	ir-diff	replay	0	0	0	JOINT_BOTH_FAIL	samples/금융위원회/입법예고/case-00001-44-2016.hwp	hwp	입법예고	금융위원회	2016	48	51	rhwp ir-diff --json	rhwp replay --json	identical	reproduced	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:replay	1	1
v-shadow-000045	ir-diff	audit	1	1	1	JOINT_PASS	samples/방송통신위원회/보도자료/case-00001-45-2017.hwpx	hwpx	보도자료	방송통신위원회	2017	46	46	rhwp ir-diff --json	rhwp audit --json	identical	valid	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:audit	1	1
v-shadow-000046	ir-diff	audit	1	0	0	SHADOW_A_ONLY	samples/개인정보보호위원회/내부결재/case-00001-46-2018.hwp	hwp	내부결재	개인정보보호위원회	2018	47	50	rhwp ir-diff --json	rhwp audit --json	identical	valid	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:audit	1	1
v-shadow-000047	ir-diff	audit	0	1	0	SHADOW_B_ONLY	samples/국민권익위원회/수신문서/case-00001-47-2019.hwpx	hwpx	수신문서	국민권익위원회	2019	51	48	rhwp ir-diff --json	rhwp audit --json	identical	valid	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:audit	1	1
v-shadow-000048	ir-diff	audit	0	0	0	JOINT_BOTH_FAIL	samples/국가인권위원회/발신문서/case-00001-48-2020.hwp	hwp	발신문서	국가인권위원회	2020	50	54	rhwp ir-diff --json	rhwp audit --json	identical	valid	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:audit	1	1
v-shadow-000049	ir-diff	lineage	1	1	1	JOINT_PASS	samples/통계청/회의안건/case-00001-49-2021.hwpx	hwpx	회의안건	통계청	2021	50	50	rhwp ir-diff --json	rhwp lineage --json	identical	matches	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:lineage	1	1
v-shadow-000050	ir-diff	lineage	1	0	0	SHADOW_A_ONLY	samples/기상청/심사평가/case-00001-50-2022.hwp	hwp	심사평가	기상청	2022	51	53	rhwp ir-diff --json	rhwp lineage --json	identical	matches	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:lineage	1	1
v-shadow-000051	ir-diff	lineage	0	1	0	SHADOW_B_ONLY	samples/관세청/현장점검/case-00001-51-2023.hwpx	hwpx	현장점검	관세청	2023	53	52	rhwp ir-diff --json	rhwp lineage --json	identical	matches	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:lineage	1	1
v-shadow-000052	ir-diff	lineage	0	0	0	JOINT_BOTH_FAIL	samples/검찰청/안전관리/case-00001-52-2024.hwp	hwp	안전관리	검찰청	2024	55	57	rhwp ir-diff --json	rhwp lineage --json	identical	matches	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:lineage	1	1
v-shadow-000053	ir-diff	csv-to-table-verify	1	1	1	JOINT_PASS	samples/경찰청/개인정보/case-00001-53-2025.hwpx	hwpx	개인정보	경찰청	2025	1	1	rhwp ir-diff --json	rhwp csv-to-table --verify --json	identical	verify.identical	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:csv-to-table	1	1
v-shadow-000054	ir-diff	csv-to-table-verify	1	0	0	SHADOW_A_ONLY	samples/소방청/정보공개/case-00001-54-2026.hwp	hwp	정보공개	소방청	2026	2	8	rhwp ir-diff --json	rhwp csv-to-table --verify --json	identical	verify.identical	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:csv-to-table	1	1
v-shadow-000055	ir-diff	csv-to-table-verify	0	1	0	SHADOW_B_ONLY	samples/해양경찰청/민원회신/case-00001-55-2016.hwpx	hwpx	민원회신	해양경찰청	2016	5	3	rhwp ir-diff --json	rhwp csv-to-table --verify --json	identical	verify.identical	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:csv-to-table	1	1
v-shadow-000056	ir-diff	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL	samples/병무청/훈령별표/case-00001-56-2017.hwp	hwp	훈령별표	병무청	2017	7	7	rhwp ir-diff --json	rhwp csv-to-table --verify --json	identical	verify.identical	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:csv-to-table	1	1
v-shadow-000057	ir-diff	sanitize-verify	1	1	1	JOINT_PASS	samples/산림청/질의회신/case-00001-57-2018.hwpx	hwpx	질의회신	산림청	2018	5	5	rhwp ir-diff --json	rhwp sanitize --verify --json	identical	verify.identical	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:sanitize	1	1
v-shadow-000058	ir-diff	sanitize-verify	1	0	0	SHADOW_A_ONLY	samples/농촌진흥청/업무계획/case-00001-58-2019.hwp	hwp	업무계획	농촌진흥청	2019	6	11	rhwp ir-diff --json	rhwp sanitize --verify --json	identical	verify.identical	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:sanitize	1	1
v-shadow-000059	ir-diff	sanitize-verify	0	1	0	SHADOW_B_ONLY	samples/중소벤처기업부/점검표/case-00001-59-2020.hwpx	hwpx	점검표	중소벤처기업부	2020	10	7	rhwp ir-diff --json	rhwp sanitize --verify --json	identical	verify.identical	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:sanitize	1	1
v-shadow-000060	ir-diff	sanitize-verify	0	0	0	JOINT_BOTH_FAIL	samples/과학기술정보통신부/서식/case-00001-60-2021.hwp	hwp	서식	과학기술정보통신부	2021	9	10	rhwp ir-diff --json	rhwp sanitize --verify --json	identical	verify.identical	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:sanitize	1	1
v-shadow-000061	verify-pages	ir-diff	1	1	1	JOINT_PASS	samples/문화체육관광부/예규/case-00001-61-2022.hwpx	hwpx	예규	문화체육관광부	2022	9	9	rhwp verify --expect-pages --json	rhwp ir-diff --json	failCount	identical	0	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:verify|src/main.rs:ir-diff	1	1
v-shadow-000062	verify-pages	ir-diff	1	0	0	SHADOW_A_ONLY	samples/환경부/지침/case-00001-62-2023.hwp	hwp	지침	환경부	2023	10	14	rhwp verify --expect-pages --json	rhwp ir-diff --json	failCount	identical	0	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:verify|src/main.rs:ir-diff	1	1
v-shadow-000063	verify-pages	ir-diff	0	1	0	SHADOW_B_ONLY	samples/해양수산부/공고/case-00001-63-2024.hwpx	hwpx	공고	해양수산부	2024	12	11	rhwp verify --expect-pages --json	rhwp ir-diff --json	failCount	identical	1	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:verify|src/main.rs:ir-diff	1	1
v-shadow-000064	verify-pages	ir-diff	0	0	0	JOINT_BOTH_FAIL	samples/법제처/기안문/case-00002-64-2025.hwp	hwp	기안문	법제처	2025	14	18	rhwp verify --expect-pages --json	rhwp ir-diff --json	failCount	identical	1	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:verify|src/main.rs:ir-diff	1	1
v-shadow-000065	verify-pages	fill-verify	1	1	1	JOINT_PASS	samples/행정안전부/편람/case-00002-65-2026.hwpx	hwpx	편람	행정안전부	2026	13	13	rhwp verify --expect-pages --json	rhwp fill-fields --verify --json	failCount	verify.identical	0	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:verify|src/main.rs:fill-fields	1	1
v-shadow-000066	verify-pages	fill-verify	1	0	0	SHADOW_A_ONLY	samples/국세청/시험지/case-00002-66-2016.hwp	hwp	시험지	국세청	2016	14	17	rhwp verify --expect-pages --json	rhwp fill-fields --verify --json	failCount	verify.identical	0	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:verify|src/main.rs:fill-fields	1	1
v-shadow-000067	verify-pages	fill-verify	0	1	0	SHADOW_B_ONLY	samples/대법원/훈령/case-00002-67-2017.hwpx	hwpx	훈령	대법원	2017	17	15	rhwp verify --expect-pages --json	rhwp fill-fields --verify --json	failCount	verify.identical	1	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:verify|src/main.rs:fill-fields	1	1
v-shadow-000068	verify-pages	fill-verify	0	0	0	JOINT_BOTH_FAIL	samples/특허청/고시/case-00002-68-2018.hwp	hwp	고시	특허청	2018	19	21	rhwp verify --expect-pages --json	rhwp fill-fields --verify --json	failCount	verify.identical	1	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:verify|src/main.rs:fill-fields	1	1
v-shadow-000069	verify-pages	layout-anomaly	1	1	1	JOINT_PASS	samples/교육부/공고문/case-00002-69-2019.hwpx	hwpx	공고문	교육부	2019	17	17	rhwp verify --expect-pages --json	rhwp layout-anomaly --json	failCount	hasSignal	0	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:verify|src/main.rs:layout-anomaly	1	1
