case_id	plan	expect_sha	reproduced	tool_version	verdict	mode	source	plan_sha256	output_sha256	expected_tool_version	input_path	action	exit_class	labor_accepted	evidence_kind	implementer_claim	sha_defect	family
v-replay-109211	{"planVersion":"1.0","input":"samples/산업통상자원부/공고-109211.hwpx","output":"out/산업통상자원부/공고-109211-vreplay.hwpx","steps":[{"action":"fill_fields","values":{"필드2":"붙임 2. 산출내역서"}}]}			0.8.2	NO_EXPECT_SHA	verify	replay	36ce1e07fe126a0ab3198b58ec1eab1021170f92dbc61fcd918b1eb8692862e9	3f86201b7dcfb47dfcd5b778c1fa88783395cce0eda4c219abb99b6d5299acc8	0.8.2	samples/산업통상자원부/공고-109211.hwpx	fill_fields	2	0	none	산업통상자원부 공고 건(#109210)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-109212	{"planVersion":"1.0","input":"samples/중소벤처기업부/공고-109212.hwp","output":"out/중소벤처기업부/공고-109212-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드3":"붙임 2. 산출내역서"}}]}	0xabababababababababababababababababababababababababababababababab:109211	0	0.8.1	INVALID_EXPECT_SHA	verify	replay	e8d736833b4afdddbcd6faf28fb7275d96a23a880cd751d42fd36acf24538fd1	d0d02b9a9d524732751ea11d0f993fa5c915eedc0d011904955241c4919fc8af	0.8.1	samples/중소벤처기업부/공고-109212.hwp	fill_fields	2	0	none	중소벤처기업부 공고 건(#109211)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	prefixed	INVALID_EXPECT_SHA
v-replay-109213	{"planVersion":"1.0","input":"samples/문화체육관광부/공고-109213.hwp","output":"out/문화체육관광부/공고-109213-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드4":"수신자 대외공문"}}]}	0cdf62e8c6f05856f4b5a5633c97e26decbc8c2f9f326608bf33dd60a8d9c2e7	1		TOOL_VERSION_MISSING	verify	replay	bb5f03e194d7727cde5849460b68009bf0060c531e6185efa17316336076bdb3	0cdf62e8c6f05856f4b5a5633c97e26decbc8c2f9f326608bf33dd60a8d9c2e7		samples/문화체육관광부/공고-109213.hwp	fill_fields	2	0	none	문화체육관광부 공고 건(#109212)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-109214	{"planVersion":"1.0","input":"samples/농림축산식품부/공고-109214.hwp","output":"out/농림축산식품부/공고-109214-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드5":"수신자 대외공문"}}]}	cf8b91e77f0b20be6cbf01710f0d8e9214018c722d22f6bda7520d5a58893b08	1	0.7.15	TOOL_VERSION_MISMATCH	verify	replay	1a70f9fed3948a498ec372e9bdc5341e5423f60b3e9f5ea4cd45a9b8aa901528	cf8b91e77f0b20be6cbf01710f0d8e9214018c722d22f6bda7520d5a58893b08	0.8.4	samples/농림축산식품부/공고-109214.hwp	fill_fields	3	0	reproduced_field	농림축산식품부 공고 건(#109213)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-109215		d02c9fad4fa566b4929b2dc7eb878811fff60ea93c5d990d98f7155afcd35b04	1	0.7.14	NO_PLAN	verify	replay		872dfec5ed6ab6fd689a708f693f4c928b2ba68a6ae0c8d15a3a0213404bc27f	0.7.14		missing	2	0	none	해양수산부 공고 건(#109214)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-109216	{"planVersion":"1.0","input":"samples/여성가족부/공고-109216.hwpx","output":"out/여성가족부/공고-109216-vreplay.hwpx","steps":[{"action":"set_cell","table":3,"row":3,"col":7,"text":"금이천만원정"}]}	bbd4297d47fe7883173e98d5415685664a93cd0c793bd8d884c906124158eae1	1	0.7.13	LABOR_ACCEPTED	verify	replay	1885db7b69c01f6c7535e7f77cdcedaeb1d0f47eecae2777f3e1a029d9d42954	bbd4297d47fe7883173e98d5415685664a93cd0c793bd8d884c906124158eae1	0.7.13	samples/여성가족부/공고-109216.hwpx	set_cell	0	1	reproduced_field	여성가족부 공고 건(#109215)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-109217	{"planVersion":"1.0","input":"samples/통일부/공고-109217.hwp","output":"out/통일부/공고-109217-vreplay.hwp","steps":[{"action":"set_cell","table":0,"row":4,"col":0,"text":"금이천만원정"}]}	6d36833cf2c55cef71d5161db56aa4d8dc7b0958b0d1b1b42663d00ede90ea78	0	0.8.4	LABOR_REJECTED	verify	replay	2cedc57246e27eddbe334482336b7e93761fb3f8f931ea85947c6780ceb768ea	1b084fcdaeadc486a9a5959a12a1f7db225fdca6731966a0b54fb3b07ecbc34f	0.8.4	samples/통일부/공고-109217.hwp	set_cell	3	0	reproduced_field	통일부 공고 건(#109216)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-109218	{"planVersion":"1.0","input":"samples/외교부/공고-109218.hwp","output":"out/외교부/공고-109218-vreplay.hwp","steps":[{"action":"set_cell","table":1,"row":5,"col":1,"text":"금이천만원정"}]}			0.8.3	ATTEST_NOT_THIRD_PARTY	attest	capsule	06d894fa6ffb64eb13e2cf0f156d9cab03099ac80b66f8db23339ad007e3695f	ee250c51b8db7216f0c1c8e7b2e3be7a0ab9028f5afba281469e4d0c5e9b854e	0.8.3	samples/외교부/공고-109218.hwp	set_cell	0	0	none	외교부 공고 건(#109217)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-109219	capsule 없이 편집을 끝냈으니 노동을 인정해 주십시오. case=109218 {"planVersion":"1.0","input":"samples/국가보훈부/공고-109219.hwp","output":"out/국가보훈부/공고-109219-vreplay.hwp","steps":[{"action":"set_cell","table":2,"row":6,"col":2,"text":"사업기간 2026.03.01"}]}				PROSE_NOT_EVIDENCE	absent	prose	3e94342bddabdf55747a877ed7635594a1a2c7880a33d911fee6730256a97e71	cc9ee10b1ab5e30ee7c1301c956fe86d77d141829a09164634bbdb5924edf179			prose	2	0	none	국가보훈부 공고 건(#109218)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-109220	{"planVersion":"1.0","input":"samples/인사혁신처/공고-109220.hwp","output":"out/인사혁신처/공고-109220-vreplay.hwp","steps":[{"action":"set_cell","table":3,"row":7,"col":3,"text":"사업기간 2026.03.01"}]}			0.8.1	NO_EXPECT_SHA	verify	replay	1cf83535d19218b37add9cada85f34f1c5a867a4c6ca587062933ecedc2c3433	8f59f6678322132186dfb2a1345b6fd88fffae7f32c9f8fca8702f891e5c765c	0.8.1	samples/인사혁신처/공고-109220.hwp	set_cell	2	0	none	인사혁신처 공고 건(#109219)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-109221	{"planVersion":"1.0","input":"samples/국무조정실/공고-109221.hwpx","output":"out/국무조정실/공고-109221-vreplay.hwpx","steps":[{"action":"set_cell","table":0,"row":8,"col":4,"text":"사업기간 2026.03.01"}]}	deadbeef:109220	0	0.8.0	INVALID_EXPECT_SHA	verify	replay	a1a9645106e1f50060a42ad38940d4be87c7a8fb4500b0b19c24e2979d0d3942	b9ff3a24ec3897f56deab7671ed8ed4367977f4dc0396a9290d2a9ffadff7021	0.8.0	samples/국무조정실/공고-109221.hwpx	set_cell	2	0	none	국무조정실 공고 건(#109220)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	length	INVALID_EXPECT_SHA
v-replay-109222	{"planVersion":"1.0","input":"samples/감사원/공고-109222.hwp","output":"out/감사원/공고-109222-vreplay.hwp","steps":[{"action":"set_checkbox","name":"동의6","checked":true}]}	7d7400fab28205835def1d95c8f826257d9d4bdb5df1ad81cea5ca516c742c33	1		TOOL_VERSION_MISSING	verify	replay	fefb4221da2b2435c25c1a725198649e6a21b49ba84555517430c430b39e7130	7d7400fab28205835def1d95c8f826257d9d4bdb5df1ad81cea5ca516c742c33		samples/감사원/공고-109222.hwp	set_checkbox	2	0	none	감사원 공고 건(#109221)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-109223	{"planVersion":"1.0","input":"samples/공정거래위원회/공고-109223.hwp","output":"out/공정거래위원회/공고-109223-vreplay.hwp","steps":[{"action":"set_checkbox","name":"동의7","checked":true}]}	397a8cdb6bb07f8544325d9e960427a7ec747673f2a65b44d00a7fb9242399e1	1	0.7.14	TOOL_VERSION_MISMATCH	verify	replay	391840842a6c041565128d3e1878590030e64daa79f8be46be769effa957421f	397a8cdb6bb07f8544325d9e960427a7ec747673f2a65b44d00a7fb9242399e1	0.8.3	samples/공정거래위원회/공고-109223.hwp	set_checkbox	3	0	reproduced_field	공정거래위원회 공고 건(#109222)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-109224		e90d98f080e90cff26f13336e2c212d07b8b84d2b3662821d92090d07bdfee16	1	0.7.13	NO_PLAN	verify	replay		d9b8066e9571b56fb4c521aaf0b65c8a8e758fcb6c5627318b7121d91a8687ff	0.7.13		missing	2	0	none	금융위원회 공고 건(#109223)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-109225	{"planVersion":"1.0","input":"samples/개인정보보호위원회/공고-109225.hwp","output":"out/개인정보보호위원회/공고-109225-vreplay.hwp","steps":[{"action":"set_checkbox","name":"동의0","checked":true}]}	96c49083b2981efb6a07051e7204504e01ca1946f5e399461b6d53afb2faf5dd	1	0.8.4	LABOR_ACCEPTED	verify	capsule	f23e76b17214345e2000f4056e802656ec11c894e148d39b0a3af7bed63c5504	96c49083b2981efb6a07051e7204504e01ca1946f5e399461b6d53afb2faf5dd	0.8.4	samples/개인정보보호위원회/공고-109225.hwp	set_checkbox	0	1	reproduced_field	개인정보보호위원회 공고 건(#109224)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-109226	{"planVersion":"1.0","input":"samples/서울특별시/공고-109226.hwpx","output":"out/서울특별시/공고-109226-vreplay.hwpx","steps":[{"action":"set_checkbox","name":"동의1","checked":true}]}	8830abb38b59c0d9c81aa4badbfcd8982877d15410a64cbc1bd4fc1390d297c8	0	0.8.3	LABOR_REJECTED	verify	replay	45073a60f1ce1ed88fb0af31c77324cd3aa756b02d7219561dcf6dd32f856faf	cab2f848645900bf9de809bafd74647a8023950da9a1f49c08a0415f098d907f	0.8.3	samples/서울특별시/공고-109226.hwpx	set_checkbox	3	0	reproduced_field	서울특별시 공고 건(#109225)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-109227	{"planVersion":"1.0","input":"samples/부산광역시/공고-109227.hwp","output":"out/부산광역시/공고-109227-vreplay.hwp","steps":[{"action":"set_checkbox","name":"동의2","checked":true}]}			0.8.2	ATTEST_NOT_THIRD_PARTY	attest	replay	db0fca13ba978e32939d9379571319273475cfedc6b8fad2c12796fe1af11bb1	bada02b1e9814b1d90115cf97081ebc6f8903bd5f9791f1ce6b2b8c619186b21	0.8.2	samples/부산광역시/공고-109227.hwp	set_checkbox	0	0	none	부산광역시 공고 건(#109226)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-109228	attest 영수증만 발급했지만 제3자 검증과 같다고 봅니다. case=109227 {"planVersion":"1.0","input":"samples/대구광역시/공고-109228.hwp","output":"out/대구광역시/공고-109228-vreplay.hwp","steps":[{"action":"set_checkbox","name":"동의3","checked":true}]}				PROSE_NOT_EVIDENCE	absent	prose	febc171af9248ae56e0ed8a84aaaf3f35cc7fd640d8eb0fcad1ce3402f0acb37	6811ffcd299feab2b900ea788c4f309185332d61a601f7934a39481fb376341d			prose	2	0	none	대구광역시 공고 건(#109227)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-109229	{"planVersion":"1.0","input":"samples/인천광역시/공고-109229.hwp","output":"out/인천광역시/공고-109229-vreplay.hwp","steps":[{"action":"redact","find":"개인정보 수집·이용"}]}			0.8.0	NO_EXPECT_SHA	verify	replay	ab08e6e5e7e4a400054debeae963630eb2b7007cfce2baccaae11103871e6bf1	2891551751991ca9671f588ab16b1ea55b2e1b3f9b64dbf01b8318fd3acf840f	0.8.0	samples/인천광역시/공고-109229.hwp	redact	2	0	none	인천광역시 공고 건(#109228)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-109230	{"planVersion":"1.0","input":"samples/광주광역시/공고-109230.hwp","output":"out/광주광역시/공고-109230-vreplay.hwp","steps":[{"action":"redact","find":"납기 2025-06-30"}]}	not-a-sha256-digest:109229	0	0.7.15	INVALID_EXPECT_SHA	verify	replay	6053aaa7bb3db8203b2e5438806b068c6947022f0c236e7486eebb6f384064ff	4a04a93a7e588913fe44acea088bb8ae5f5ad3078b3a865183d51366578eab3a	0.7.15	samples/광주광역시/공고-109230.hwp	redact	2	0	none	광주광역시 공고 건(#109229)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	length	INVALID_EXPECT_SHA
v-replay-109231	{"planVersion":"1.0","input":"samples/경기도/공고-109231.hwpx","output":"out/경기도/공고-109231-vreplay.hwpx","steps":[{"action":"redact","find":"검토 의견 없음"}]}	9a8dfb9c042b971f833a09e2a0515c1dd3bde548d4619112f2d81f40cd73d0e5	1		TOOL_VERSION_MISSING	verify	replay	e7f518a2e979a65c773955e311541bbde29afa778c7017555da476d94821a45d	9a8dfb9c042b971f833a09e2a0515c1dd3bde548d4619112f2d81f40cd73d0e5		samples/경기도/공고-109231.hwpx	redact	2	0	none	경기도 공고 건(#109230)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-109232	{"planVersion":"1.0","input":"samples/강원특별자치도/공고-109232.hwp","output":"out/강원특별자치도/공고-109232-vreplay.hwp","steps":[{"action":"redact","find":"한컴 공식 출력과 동일"}]}	b82c8d7dc778c366586090b1e11e7bc8a9171cde315f912b20de2dad55533547	1	0.7.13	TOOL_VERSION_MISMATCH	verify	replay	19d23f0ae498d431418d8b3626581c02899c28c4ae2be3d92415848eb147fad7	b82c8d7dc778c366586090b1e11e7bc8a9171cde315f912b20de2dad55533547	0.8.2	samples/강원특별자치도/공고-109232.hwp	redact	3	0	reproduced_field	강원특별자치도 공고 건(#109231)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-109233		6f39c05e57fb3eeefbb83bea0ee5d19b56b5136ea30ae689426e11221c2f3bbc	1	0.8.4	NO_PLAN	verify	replay		9f6b9cd50a73216e4e519fee1669798e0727c01502e0c3dbf35226107966562b	0.8.4		missing	2	0	none	충청북도 공고 건(#109232)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-109234	{"planVersion":"1.0","input":"samples/전북특별자치도/공고-109234.hwp","output":"out/전북특별자치도/공고-109234-vreplay.hwp","steps":[{"action":"redact","find":"3월 31일"}]}	9d873102f9ef1710bdd860d0d6ad9626ee556807f950289c37f3fa1e55ad3899	1	0.8.3	LABOR_ACCEPTED	verify	replay	3c48bf50c69ff7e943b0d39fba2def2c48ac091eebab2974a3045b74a41ab661	9d873102f9ef1710bdd860d0d6ad9626ee556807f950289c37f3fa1e55ad3899	0.8.3	samples/전북특별자치도/공고-109234.hwp	redact	0	1	reproduced_field	전북특별자치도 공고 건(#109233)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-109235	{"planVersion":"1.0","input":"samples/경상남도/공고-109235.hwp","output":"out/경상남도/공고-109235-vreplay.hwp","steps":[{"action":"redact","find":"과학기술정보통신부"}]}	6a0f5cf31830359b81c8f1f4fbe0972a6085eb385065145d5c0e137f81b3f3e6	0	0.8.2	LABOR_REJECTED	verify	replay	35ba12583aac0a13432d4536b16b22bcb64a70c2ccaa08bc5461073b47a5d6b9	e3c2fa1d6c3d938467dbfce6f19f13ce6ac9d508f6346ae36ccdcfc74137ce17	0.8.2	samples/경상남도/공고-109235.hwp	redact	3	0	reproduced_field	경상남도 공고 건(#109234)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-109236	{"planVersion":"1.0","input":"samples/제주특별자치도/공고-109236.hwpx","output":"out/제주특별자치도/공고-109236-vreplay.hwpx","steps":[{"action":"sanitize"}]}			0.8.1	ATTEST_NOT_THIRD_PARTY	attest	capsule	c9d9f51991dce87157425f2221f1af0686ea7faa298ef0f20d9070a23aa57cac	4c1fb29d21e20d2a83ab8dc46d0d510a0ffccc9122db846a6c27e9959706afbe	0.8.1	samples/제주특별자치도/공고-109236.hwpx	sanitize	0	0	none	제주특별자치도 공고 건(#109235)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-109237	toolVersion 을 확인하지 않았지만 재현된 것으로 간주합니다. case=109236 {"planVersion":"1.0","input":"samples/서울중앙지방법원/공고-109237.hwp","output":"out/서울중앙지방법원/공고-109237-vreplay.hwp","steps":[{"action":"sanitize"}]}				PROSE_NOT_EVIDENCE	absent	prose	89295e4df35fcc3cb43de87994fbcdf21bb7eebc8e6bc79cfdcc3c211325a0e5	13ee3f1cb6b4813055a3881718756dc2aaaaa62bcc62edf24294cee82947ee2f			prose	2	0	none	서울중앙지방법원 공고 건(#109236)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-109238	{"planVersion":"1.0","input":"samples/특허법원/공고-109238.hwp","output":"out/특허법원/공고-109238-vreplay.hwp","steps":[{"action":"sanitize"}]}			0.7.15	NO_EXPECT_SHA	verify	replay	2b85cb37667eb4d586aed9ff0cc04387929027eaa33fd2cdeaa2d43ebff9b00a	ef3dd2fdd74126e18f90a10d45f819229adfc305639ee5dd41e661bd70712dd9	0.7.15	samples/특허법원/공고-109238.hwp	sanitize	2	0	none	특허법원 공고 건(#109237)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-109239	{"planVersion":"1.0","input":"samples/헌법재판소/공고-109239.hwp","output":"out/헌법재판소/공고-109239-vreplay.hwp","steps":[{"action":"sanitize"}]}	zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz:109238	0	0.7.14	INVALID_EXPECT_SHA	verify	replay	0035306a082e8b19392ff2aa7a9131b59f45960398acc768d1ccda97d081129c	00358a18ee31172d382c0e87cce8333e42a52882303243f132f3f71514a4e821	0.7.14	samples/헌법재판소/공고-109239.hwp	sanitize	2	0	none	헌법재판소 공고 건(#109238)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	length	INVALID_EXPECT_SHA
